seq1_accession;seq1_variante;seq1_pais;seq1_estado;seq1_tamanho;seq1_spike_tamanho;seq1_data_coleta;seq2_accession;seq2_variante;seq2_pais;seq2_estado;seq2_tamanho;seq2_spike_tamanho;seq2_data_coleta;grupo;completa_total_score;completa_matches;completa_mismatches;completa_gap_openings;completa_gap_extentions;spike_total_score;spike_matches;spike_mismatches;spike_gap_openings;spike_gap_extentions
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON483559.1;B.1.617.2;Mexico;;29812;3816;44478;intra-delta;29543;29744;59;2;9;3776;3806;10;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM961293.1;B.1.617.2;Mongolia;;29836;3816;44545;intra-delta;29649;29769;37;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL351442.1;B.1.617.2;Egypt;;29903;3822;44484;intra-delta;29586;29768;46;4;16;3769;3808;8;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON909201.1;B.1.617.2;Bangladesh;;29813;3816;44391;intra-delta;29574;29751;53;2;6;3780;3807;9;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM190651.1;B.1.617.2;Mongolia;;29852;3816;44310;intra-delta;29601;29763;51;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL958521.1;B.1.617.2;Bangladesh;;29816;3816;44388;intra-delta;29672;29780;33;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM692491.1;B.1.617.2;Bangladesh;;29818;3816;44434;intra-delta;29709;29790;24;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM721708.1;B.1.617.2;Bangladesh;;29819;3816;44422;intra-delta;29605;29764;50;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL966477.1;B.1.617.2;India;;29888;3816;44333;intra-delta;29685;29784;30;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK190628.1;B.1.617.2;India;;29893;3822;44449;intra-delta;29590;29769;45;4;16;3777;3810;6;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;MZ558098.1;B.1.617.2;India;;29837;3822;44340;intra-delta;29574;29765;49;4;16;3769;3808;8;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL958468.1;B.1.617.2;Bangladesh;;29816;3816;44387;intra-delta;29704;29788;25;1;3;3796;3811;5;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM090161.1;B.1.617.2;Bangladesh;;29810;3816;44410;intra-delta;29690;29780;27;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON507019.1;B.1.617.2;Italy;;29823;3816;44536;intra-delta;29657;29777;37;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL989400.1;B.1.617.2;Bangladesh;;29815;3816;44420;intra-delta;29703;29787;25;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON485812.1;B.1.617.2;Mexico;;29837;3816;44410;intra-delta;29590;29764;50;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK190620.1;B.1.617.2;India;;29892;3822;44449;intra-delta;29634;29780;34;4;16;3765;3807;9;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM961262.1;B.1.617.2;Mongolia;;29858;3816;44449;intra-delta;29581;29758;56;1;3;3784;3808;8;0;0
